"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000017723",127.923440877294,1.6832770069874,0.369678036614331,4.58962931029187,4.44033853772132e-06,0.000487748814569853
"ENSMUSG00000037583",173.760310188106,-1.47283711942094,0.277824786944548,-5.29414260173665,1.19576098815805e-07,2.1448016711645e-05
"ENSMUSG00000026956",154.713898342237,2.69685553840356,0.355214520205551,7.61311353863295,2.67570540426324e-14,2.70819611274358e-11
"ENSMUSG00000026958",747.817118383318,1.04088090855933,0.245384456228823,4.24302530029462,2.20526562618138e-05,0.00197227595402636
"ENSMUSG00000043068",229.462520699086,1.2059728062204,0.265117736005489,4.54872450384916,5.39720444023469e-06,0.000570907852306504
"ENSMUSG00000026548",45.4553293099885,1.43739974608189,0.377443408587725,3.82277839256585,0.000131956364641833,0.00831031860877678
"ENSMUSG00000026542",2281.08937715895,1.07316074108819,0.306799653438453,3.5034316765544,0.000459304466379478,0.0209271520533672
"ENSMUSG00000101397",761.180934818846,-1.0337149710402,0.30566264682966,-3.37836567799987,0.000729180455984566,0.0296392232891415
"ENSMUSG00000002059",89.2676841714341,1.55867136231937,0.337546455285566,4.62062412112685,3.82587372993977e-06,0.00042687110829328
"ENSMUSG00000001506",144.530806544519,2.44717735903466,0.35148394696538,6.98726259644762,2.80301313672643e-12,1.6549456728089e-09
"ENSMUSG00000052396",20.5949609857255,2.96931585464296,0.407902659855565,6.58719388402344,4.48216823194407e-11,1.81463782418993e-08
"ENSMUSG00000035878",3273.20879042653,-0.85827137645451,0.240624490440878,-3.56580541042133,0.000362740454254929,0.0177855786740219
"ENSMUSG00000070690",522.034616963316,-0.869468244668741,0.210960298466536,-4.12064448191066,3.77814046899274e-05,0.0029415522222872
"ENSMUSG00000042216",62.4783440047717,-1.14201380965461,0.299825793271771,-3.80139254776135,0.000143885135579708,0.00894233496124767
"ENSMUSG00000039878",115.546014019031,2.49631398817655,0.352058926628348,7.08359405389649,1.40462982165251e-12,9.04709298764368e-10
"ENSMUSG00000090272",38.2673807976685,-1.86367570267681,0.413366142267898,-4.58036757096872,4.64159444708114e-06,0.000505933794731844
"ENSMUSG00000032080",9803.1376428094,1.18718665898666,0.375555158681125,3.18797329342646,0.00143273768788388,0.0492764394109577
"ENSMUSG00000097321",58.141440022132,-1.92455238807269,0.35327745617545,-5.41265573523011,6.20968066085625e-08,1.2220996522824e-05
"ENSMUSG00000097321.1",58.141440022132,-1.92455238807269,0.35327745617545,-5.41265573523011,6.20968066085625e-08,1.2220996522824e-05
"ENSMUSG00000025351",153.452910706195,2.41217010506636,0.364173924941254,6.67883804101097,2.40844143683428e-11,1.03417015636187e-08
"ENSMUSG00000024254",2808.86518802757,0.915611835913525,0.222022295740343,4.12481019520942,3.71040615901354e-05,0.00291443771836411
"ENSMUSG00000057228",1766.38745144636,-0.748180049279893,0.223589323789257,-3.34560991798506,0.000821018102694401,0.0322266662470351
"ENSMUSG00000095463",400.822457201903,-0.777146826951279,0.183869907492999,-4.22621577276958,2.37654119001781e-05,0.00207874004089829
"ENSMUSG00000095463.1",400.822457201903,-0.777146826951279,0.183869907492999,-4.22621577276958,2.37654119001781e-05,0.00207874004089829
"ENSMUSG00000049858",2782.0373997328,-0.948993428934311,0.224683048861659,-4.22270275523478,2.41390079735133e-05,0.00209846468088763
"ENSMUSG00000004562",139.3466717122,0.831336400083677,0.200987583331957,4.13350177792269,3.57277530865014e-05,0.0028282807890264
"ENSMUSG00000029810",5252.0931481591,0.881280559241679,0.184341832991451,4.78108061829379,1.7435541909943e-06,0.000230898718564386
"ENSMUSG00000029816",70.963393939812,3.57334870699799,0.393130028874554,8.01551135973062,1.09679728444828e-15,1.29513479338601e-12
